condition,uncertainty_level,n,mean_reward,reward_sem,reward_ci95,goal_rate,goal_rate_sem,goal_rate_ci95,cds_mean,cds_sem,cds_ci95,spi_mean,spi_sem,spi_ci95
very_low,0.0,30,0.82,0.0,0.0,1.0,0.0,0.0,0.039087,0.01571,0.030792,0.3,0.085096,0.166789
low,0.255556,30,0.326867,0.05688,0.111485,0.988889,0.006258,0.012266,0.04681,0.015693,0.030759,0.333004,0.087452,0.171405
medium,0.566667,30,-0.2822,0.123697,0.242447,0.875556,0.054008,0.105855,0.0587,0.019163,0.037559,0.433276,0.092007,0.180333
high,0.817778,30,-0.956044,0.136278,0.267105,0.635556,0.079122,0.15508,0.037831,0.01492,0.029243,0.291667,0.083118,0.16291
very_high,0.966667,30,-1.290389,0.121004,0.237167,0.477778,0.079274,0.155377,0.109717,0.040278,0.078945,0.317616,0.083959,0.16456
baseline,,30,0.82,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cue_baseline,,30,0.82,0.0,0.0,1.0,0.0,0.0,0.039087,0.01571,0.030792,0.3,0.085096,0.166789
