condition,seed,delay_level,sparsity_level,delay_high,sparsity_high,delay,reward_sparse_prob,noise,before_reward,after_reward,goal_rate_before,goal_rate_after,cds,spi
high_delay_low_sparsity,25,high,low,1,0,6,1.0,0.0,0.82,0.82,1.0,1.0,0.186992,1.0
high_delay_low_sparsity,26,high,low,1,0,6,1.0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
high_delay_low_sparsity,27,high,low,1,0,6,1.0,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0
high_delay_low_sparsity,28,high,low,1,0,6,1.0,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0
high_delay_low_sparsity,29,high,low,1,0,6,1.0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
low_delay_high_sparsity,0,low,high,0,1,0,0.1,0.0,-0.013333,-0.013333,1.0,1.0,0.0,0.0
low_delay_high_sparsity,1,low,high,0,1,0,0.1,0.0,-0.046667,-0.046667,1.0,1.0,0.049708,1.0
low_delay_high_sparsity,2,low,high,0,1,0,0.1,0.0,-0.08,-0.08,1.0,1.0,0.0,0.0
low_delay_high_sparsity,3,low,high,0,1,0,0.1,0.0,-0.113333,-0.113333,1.0,1.0,0.0,0.0
low_delay_high_sparsity,4,low,high,0,1,0,0.1,0.0,-0.08,-0.08,1.0,1.0,0.002849,1.0
low_delay_high_sparsity,5,low,high,0,1,0,0.1,0.0,-0.113333,-0.113333,1.0,1.0,0.055556,1.0
low_delay_high_sparsity,6,low,high,0,1,0,0.1,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0
low_delay_high_sparsity,7,low,high,0,1,0,0.1,0.0,-0.113333,-0.113333,1.0,1.0,0.0,0.0
low_delay_high_sparsity,8,low,high,0,1,0,0.1,0.0,-0.18,-0.18,1.0,1.0,0.122807,1.0
low_delay_high_sparsity,9,low,high,0,1,0,0.1,0.0,-0.013333,-0.013333,1.0,1.0,0.350649,1.0
low_delay_high_sparsity,10,low,high,0,1,0,0.1,0.0,-0.013333,-0.013333,1.0,1.0,0.074074,1.0
low_delay_high_sparsity,11,low,high,0,1,0,0.1,0.0,-0.146667,-0.146667,1.0,1.0,0.330656,1.0
low_delay_high_sparsity,12,low,high,0,1,0,0.1,0.0,-0.046667,-0.046667,1.0,1.0,0.0,0.0
low_delay_high_sparsity,13,low,high,0,1,0,0.1,0.0,-0.046667,-0.046667,1.0,1.0,0.245542,1.0
low_delay_high_sparsity,14,low,high,0,1,0,0.1,0.0,-0.08,-0.08,1.0,1.0,0.0,0.0
low_delay_high_sparsity,15,low,high,0,1,0,0.1,0.0,-0.113333,-0.113333,1.0,1.0,0.027778,1.0
low_delay_high_sparsity,16,low,high,0,1,0,0.1,0.0,-0.113333,-0.113333,1.0,1.0,0.039781,1.0
low_delay_high_sparsity,17,low,high,0,1,0,0.1,0.0,0.02,0.02,1.0,1.0,0.0,0.0
