condition,seed,uncertainty_level,before_reward,after_reward,goal_rate_before,goal_rate_after,cds,spi
low,4,0.255556,0.409333,0.409333,1.0,1.0,0.0,0.0
low,5,0.255556,0.545,0.545,1.0,1.0,0.0,0.0
low,6,0.255556,0.412333,0.412333,1.0,1.0,0.0,0.0
low,7,0.255556,0.48,0.48,1.0,1.0,0.0,0.0
low,8,0.255556,0.547667,0.547667,1.0,1.0,0.123594,1.0
low,9,0.255556,0.444667,0.444667,1.0,1.0,0.336882,1.0
low,10,0.255556,-0.137667,-0.137667,1.0,1.0,0.013233,1.0
low,11,0.255556,0.540667,0.540667,1.0,1.0,0.178722,1.0
low,12,0.255556,0.412667,0.412667,1.0,1.0,0.0,0.0
low,13,0.255556,0.51,0.51,1.0,1.0,0.0,0.0
low,14,0.255556,0.443,0.443,1.0,1.0,0.0,0.0
low,15,0.255556,0.474667,0.474667,1.0,1.0,0.0,0.0
low,16,0.255556,0.476667,0.476667,1.0,1.0,0.0,0.0
low,17,0.255556,-0.362667,-0.362667,0.9,0.9,0.0,0.0
low,18,0.255556,0.412333,0.412333,1.0,1.0,0.0,0.0
low,19,0.255556,0.512,0.512,1.0,1.0,0.113475,1.0
low,20,0.255556,0.340333,0.340333,1.0,1.0,0.0,0.0
low,21,0.255556,-0.584333,-0.584333,0.866667,0.866667,0.0,0.0
low,22,0.255556,0.643667,0.643667,1.0,1.0,0.033392,1.0
low,23,0.255556,-0.171,-0.171,1.0,1.0,0.0,0.0
low,24,0.255556,-0.323,-0.323,0.9,0.9,0.0,0.0
low,25,0.255556,0.478667,-0.346,1.0,0.833333,0.180505,1.0
low,26,0.255556,0.277333,0.277333,1.0,1.0,0.0,0.0
low,27,0.255556,0.378,0.378,1.0,1.0,0.0,0.0
low,28,0.255556,0.475667,0.576,1.0,1.0,0.066989,1.0
low,29,0.255556,0.409333,0.409333,1.0,1.0,0.0,0.0
medium,0,0.566667,-0.981333,-0.981333,0.766667,0.766667,0.455742,1.0
medium,1,0.566667,0.134333,0.134333,1.0,1.0,0.116195,1.0
medium,2,0.566667,-0.393667,-0.393667,0.933333,0.933333,0.0,0.0
medium,3,0.566667,0.038333,0.038333,1.0,1.0,0.0,0.0
medium,4,0.566667,-0.842333,-0.842333,0.933333,0.933333,0.005941,1.0
medium,5,0.566667,0.130333,0.130333,1.0,1.0,0.0,0.0
medium,6,0.566667,0.166,0.166,1.0,1.0,0.0,0.0
medium,7,0.566667,0.201,-0.274,1.0,1.0,0.046901,1.0
medium,8,0.566667,-0.158667,-0.158667,1.0,1.0,0.0,0.0
medium,9,0.566667,0.096667,0.096667,1.0,1.0,0.0,0.0
medium,10,0.566667,-1.155333,-1.155333,0.666667,0.666667,0.0,0.0
medium,11,0.566667,0.197,0.197,1.0,1.0,0.117653,1.0
medium,12,0.566667,-2.0,-2.0,0.0,0.0,0.0,0.0
medium,13,0.566667,-0.352667,-0.352667,1.0,1.0,0.0,0.0
medium,14,0.566667,0.333333,0.333333,1.0,1.0,0.05,1.0
medium,15,0.566667,0.167667,0.167667,1.0,1.0,0.041876,1.0
medium,16,0.566667,0.029667,0.029667,1.0,1.0,0.0,0.0
medium,17,0.566667,0.166,0.166,1.0,1.0,0.216896,1.0
medium,18,0.566667,-0.311,-0.311,1.0,1.0,0.0,0.0
medium,19,0.566667,0.207667,0.207667,1.0,1.0,0.161264,1.0
medium,20,0.566667,0.061,0.061,1.0,1.0,0.0,0.0
medium,21,0.566667,-0.559,-0.559,0.866667,0.866667,0.267104,1.0
medium,22,0.566667,0.202,0.202,1.0,1.0,0.0,0.0
medium,23,0.566667,-1.872,-1.872,0.1,0.1,0.0,0.0
medium,24,0.566667,0.072667,0.072667,1.0,1.0,0.177405,1.0
medium,25,0.566667,0.105,0.138,1.0,1.0,0.05641,0.998294
medium,26,0.566667,0.005,0.005,1.0,1.0,0.0,0.0
medium,27,0.566667,-0.217333,-0.217333,1.0,1.0,0.0,0.0
medium,28,0.566667,-2.0,-2.0,0.0,0.0,0.0,0.0
medium,29,0.566667,0.063667,-0.101667,1.0,1.0,0.047619,1.0
high,0,0.817778,-2.0,-2.0,0.0,0.0,0.088333,1.0
high,1,0.817778,-0.334,-0.334,1.0,1.0,0.0,0.0
high,2,0.817778,-0.52,-0.52,0.966667,0.966667,0.0,0.0
high,3,0.817778,-2.0,-2.0,0.0,0.0,0.0,0.0
high,4,0.817778,-2.0,-2.0,0.0,0.0,0.0,0.0
high,5,0.817778,-0.270333,-0.270333,1.0,1.0,0.0,0.0
high,6,0.817778,-0.330333,-0.330333,1.0,1.0,0.0,0.0
high,7,0.817778,-0.016,-0.016,1.0,1.0,0.068139,1.0
high,8,0.817778,-0.201333,-0.201333,1.0,1.0,0.0,0.0
high,9,0.817778,-0.912333,-0.912333,0.666667,0.666667,0.181943,1.0
