group,condition,seed,x_value,x_label,uncertainty_level,before_reward,after_reward,goal_rate_before,goal_rate_after,cds,spi
sparsity,sparsity_0.7,13,0.3,reward_sparse_prob=0.7,0.3,0.62,0.62,1.0,1.0,0.245542,1.0
sparsity,sparsity_0.7,14,0.3,reward_sparse_prob=0.7,0.3,0.42,0.42,1.0,1.0,0.0,0.0
sparsity,sparsity_0.7,15,0.3,reward_sparse_prob=0.7,0.3,0.453333,0.453333,1.0,1.0,0.0,0.0
sparsity,sparsity_0.7,16,0.3,reward_sparse_prob=0.7,0.3,0.453333,0.453333,1.0,1.0,0.0,0.0
sparsity,sparsity_0.7,17,0.3,reward_sparse_prob=0.7,0.3,0.52,0.52,1.0,1.0,0.278499,1.0
sparsity,sparsity_0.7,18,0.3,reward_sparse_prob=0.7,0.3,0.486667,0.486667,1.0,1.0,0.0,0.0
sparsity,sparsity_0.7,19,0.3,reward_sparse_prob=0.7,0.3,0.553333,0.553333,1.0,1.0,0.039781,1.0
sparsity,sparsity_0.7,20,0.3,reward_sparse_prob=0.7,0.3,0.62,0.62,1.0,1.0,0.0,0.0
sparsity,sparsity_0.7,21,0.3,reward_sparse_prob=0.7,0.3,0.386667,0.386667,1.0,1.0,0.0,0.0
sparsity,sparsity_0.7,22,0.3,reward_sparse_prob=0.7,0.3,0.553333,0.553333,1.0,1.0,0.055556,1.0
sparsity,sparsity_0.7,23,0.3,reward_sparse_prob=0.7,0.3,0.553333,0.553333,1.0,1.0,0.156118,1.0
sparsity,sparsity_0.7,24,0.3,reward_sparse_prob=0.7,0.3,0.42,0.42,1.0,1.0,0.027778,1.0
sparsity,sparsity_0.7,25,0.3,reward_sparse_prob=0.7,0.3,0.286667,0.286667,1.0,1.0,0.051491,1.0
sparsity,sparsity_0.7,26,0.3,reward_sparse_prob=0.7,0.3,0.553333,0.553333,1.0,1.0,0.0,0.0
sparsity,sparsity_0.7,27,0.3,reward_sparse_prob=0.7,0.3,0.453333,0.453333,1.0,1.0,0.055556,1.0
sparsity,sparsity_0.7,28,0.3,reward_sparse_prob=0.7,0.3,0.486667,0.486667,1.0,1.0,0.074074,1.0
sparsity,sparsity_0.7,29,0.3,reward_sparse_prob=0.7,0.3,0.586667,0.586667,1.0,1.0,0.0,0.0
sparsity,sparsity_0.5,0,0.5,reward_sparse_prob=0.5,0.5,0.453333,0.453333,1.0,1.0,0.097222,1.0
sparsity,sparsity_0.5,1,0.5,reward_sparse_prob=0.5,0.5,-2.0,-2.0,0.0,0.0,0.0,0.0
sparsity,sparsity_0.5,2,0.5,reward_sparse_prob=0.5,0.5,0.353333,0.353333,1.0,1.0,0.119241,1.0
sparsity,sparsity_0.5,3,0.5,reward_sparse_prob=0.5,0.5,0.286667,0.286667,1.0,1.0,0.0,0.0
sparsity,sparsity_0.5,4,0.5,reward_sparse_prob=0.5,0.5,0.353333,0.353333,1.0,1.0,0.074074,1.0
sparsity,sparsity_0.5,5,0.5,reward_sparse_prob=0.5,0.5,0.186667,0.186667,1.0,1.0,0.0,0.0
sparsity,sparsity_0.5,6,0.5,reward_sparse_prob=0.5,0.5,-2.0,-2.0,0.0,0.0,0.0,0.0
sparsity,sparsity_0.5,7,0.5,reward_sparse_prob=0.5,0.5,0.286667,0.286667,1.0,1.0,0.0,0.0
sparsity,sparsity_0.5,8,0.5,reward_sparse_prob=0.5,0.5,0.32,0.32,1.0,1.0,0.049708,1.0
sparsity,sparsity_0.5,9,0.5,reward_sparse_prob=0.5,0.5,0.42,0.42,1.0,1.0,0.206349,1.0
sparsity,sparsity_0.5,10,0.5,reward_sparse_prob=0.5,0.5,0.386667,0.386667,1.0,1.0,0.0,0.0
sparsity,sparsity_0.5,11,0.5,reward_sparse_prob=0.5,0.5,0.353333,0.353333,1.0,1.0,0.129853,1.0
sparsity,sparsity_0.5,12,0.5,reward_sparse_prob=0.5,0.5,0.386667,0.386667,1.0,1.0,0.0,0.0
sparsity,sparsity_0.5,13,0.5,reward_sparse_prob=0.5,0.5,0.42,0.42,1.0,1.0,0.176955,1.0
sparsity,sparsity_0.5,14,0.5,reward_sparse_prob=0.5,0.5,0.32,0.32,1.0,1.0,0.0,0.0
sparsity,sparsity_0.5,15,0.5,reward_sparse_prob=0.5,0.5,0.32,0.32,1.0,1.0,0.027778,1.0
sparsity,sparsity_0.5,16,0.5,reward_sparse_prob=0.5,0.5,0.286667,0.286667,1.0,1.0,0.039781,1.0
sparsity,sparsity_0.5,17,0.5,reward_sparse_prob=0.5,0.5,0.253333,0.253333,1.0,1.0,0.0,0.0
sparsity,sparsity_0.5,18,0.5,reward_sparse_prob=0.5,0.5,0.42,0.42,1.0,1.0,0.342105,1.0
sparsity,sparsity_0.5,19,0.5,reward_sparse_prob=0.5,0.5,0.453333,0.453333,1.0,1.0,0.0,0.0
sparsity,sparsity_0.5,20,0.5,reward_sparse_prob=0.5,0.5,0.386667,0.386667,1.0,1.0,0.111111,1.0
sparsity,sparsity_0.5,21,0.5,reward_sparse_prob=0.5,0.5,0.286667,0.286667,1.0,1.0,0.074074,1.0
sparsity,sparsity_0.5,22,0.5,reward_sparse_prob=0.5,0.5,0.32,0.32,1.0,1.0,0.0,0.0
sparsity,sparsity_0.5,23,0.5,reward_sparse_prob=0.5,0.5,0.253333,0.253333,1.0,1.0,0.156118,1.0
sparsity,sparsity_0.5,24,0.5,reward_sparse_prob=0.5,0.5,0.32,0.32,1.0,1.0,0.0,0.0
sparsity,sparsity_0.5,25,0.5,reward_sparse_prob=0.5,0.5,0.086667,0.086667,1.0,1.0,0.0,0.0
sparsity,sparsity_0.5,26,0.5,reward_sparse_prob=0.5,0.5,0.353333,0.353333,1.0,1.0,0.0,0.0
sparsity,sparsity_0.5,27,0.5,reward_sparse_prob=0.5,0.5,0.353333,0.353333,1.0,1.0,0.074074,1.0
sparsity,sparsity_0.5,28,0.5,reward_sparse_prob=0.5,0.5,-2.0,-2.0,0.0,0.0,0.0,0.0
sparsity,sparsity_0.5,29,0.5,reward_sparse_prob=0.5,0.5,0.386667,0.386667,1.0,1.0,0.0,0.0
sparsity,sparsity_0.3,0,0.7,reward_sparse_prob=0.3,0.7,-2.0,-2.0,0.0,0.0,0.0,0.0
sparsity,sparsity_0.3,1,0.7,reward_sparse_prob=0.3,0.7,0.12,0.12,1.0,1.0,0.122807,1.0
sparsity,sparsity_0.3,2,0.7,reward_sparse_prob=0.3,0.7,0.153333,0.153333,1.0,1.0,0.051491,1.0
sparsity,sparsity_0.3,3,0.7,reward_sparse_prob=0.3,0.7,0.086667,0.086667,1.0,1.0,0.0,0.0
sparsity,sparsity_0.3,4,0.7,reward_sparse_prob=0.3,0.7,0.053333,0.053333,1.0,1.0,0.074074,1.0
sparsity,sparsity_0.3,5,0.7,reward_sparse_prob=0.3,0.7,-0.046667,-0.046667,1.0,1.0,0.0,0.0
sparsity,sparsity_0.3,6,0.7,reward_sparse_prob=0.3,0.7,0.153333,0.153333,1.0,1.0,0.0,0.0
sparsity,sparsity_0.3,7,0.7,reward_sparse_prob=0.3,0.7,0.153333,0.153333,1.0,1.0,0.0,0.0
sparsity,sparsity_0.3,8,0.7,reward_sparse_prob=0.3,0.7,0.086667,0.086667,1.0,1.0,0.122807,1.0
sparsity,sparsity_0.3,9,0.7,reward_sparse_prob=0.3,0.7,0.253333,0.253333,1.0,1.0,0.350649,1.0
