group,best_condition,best_x_value,best_goal_rate,best_cds_mean,best_spi_mean,cds_gain_from_control,spi_gain_from_control,stabilization_score,goal_rate_preserved
sparsity,sparsity_0.1,0.9,0.966667,0.069489,0.566667,0.030402,0.266667,0.297069,True
noise,noise_0.1,0.1,0.997778,0.052398,0.533333,0.013311,0.233333,0.246644,True
delay,delay_1,1.0,1.0,0.061118,0.433333,0.022031,0.133333,0.155364,True
combined,medium,0.566667,0.875556,0.0587,0.433276,0.019613,0.133276,0.152889,True
