condition,correlation_strength,seed,reward,goal_rate,CDS,SPI,spurious_action_rate,neutral_action_rate,causal_action_rate,Q_spurious,Q_neutral_mean,Q_causal,spurious_Q_advantage,spurious_policy_advantage
weak_spurious_correlation,0.6,11,0.978,1.0,0.76636,0.919631,0.194993,0.724638,0.080369,0.468829,0.525708,0.421254,-0.056879,-0.529644
weak_spurious_correlation,0.6,12,0.978,1.0,0.757886,0.887626,0.290404,0.597222,0.112374,0.522314,0.496257,0.466437,0.026057,-0.306818
weak_spurious_correlation,0.6,13,0.978,1.0,0.741405,0.608195,0.31114,0.297055,0.391805,0.522339,0.477103,0.53076,0.045236,0.014085
weak_spurious_correlation,0.6,14,0.978,1.0,0.741789,0.604426,0.217151,0.387275,0.395574,0.530189,0.46704,0.524585,0.063149,-0.170124
weak_spurious_correlation,0.6,15,0.978,1.0,0.761604,0.891275,0.2,0.691275,0.108725,0.487846,0.522531,0.454613,-0.034685,-0.491275
weak_spurious_correlation,0.6,16,0.978,1.0,0.762672,0.803051,0.400832,0.402219,0.196949,0.576124,0.503882,0.459347,0.072242,-0.001387
weak_spurious_correlation,0.6,17,0.978,1.0,0.764466,0.900143,0.589158,0.310984,0.099857,0.585968,0.474377,0.439533,0.111591,0.278174
weak_spurious_correlation,0.6,18,0.978,1.0,0.749641,0.793997,0.199181,0.594816,0.206003,0.455582,0.502169,0.484305,-0.046587,-0.395634
weak_spurious_correlation,0.6,19,0.978,1.0,0.762048,0.895086,0.0,0.895086,0.104914,0.437457,0.564084,0.46166,-0.126628,-0.895086
weak_spurious_correlation,0.6,20,0.978,1.0,0.728241,0.414115,0.091877,0.322237,0.585885,0.491541,0.489976,0.599916,0.001566,-0.23036
weak_spurious_correlation,0.6,21,0.978,1.0,0.750178,0.709815,0.510669,0.199147,0.290185,0.581076,0.46128,0.502024,0.119796,0.311522
weak_spurious_correlation,0.6,22,0.978,1.0,0.752515,0.699871,0.082794,0.617076,0.300129,0.481905,0.508509,0.486737,-0.026604,-0.534282
weak_spurious_correlation,0.6,23,0.978,1.0,0.770578,1.0,0.480641,0.519359,0.0,0.55627,0.492859,0.414621,0.063411,-0.038718
