agent_type,seed,phase,phase_episode,global_episode,p_proxy_given_reward,p_proxy_given_no_reward,reward,goal_rate,SPI,CDS,causal_action_rate,proxy_action_rate,neutral_action_rate,Q_causal,Q_proxy,Q_neutral_mean,proxy_Q_advantage,proxy_vs_causal_Q,proxy_dependence,abs_proxy_dependence,proxy_action_dependence
tabular_sarsa,0,acquisition,2900,2900,0.95,0.05,0.474667,0.496667,0.647333,0.746791,0.352667,0.15,0.497333,0.310582,0.284485,0.298763,-0.014278,-0.026097,0.305412,0.305412,-0.1034
tabular_sarsa,0,acquisition,3000,3000,0.95,0.05,0.461333,0.483333,0.647667,0.749775,0.352333,0.354667,0.293,0.274109,0.277076,0.270844,0.006232,0.002968,-0.29772,0.29772,-0.30228
tabular_sarsa,0,reversal,1,3001,0.05,0.95,0.494667,0.516667,0.594,0.749475,0.406,0.259333,0.334667,0.270459,0.270581,0.266249,0.004332,0.000122,-0.195291,0.195291,-0.5
tabular_sarsa,0,reversal,100,3100,0.05,0.95,0.468,0.49,0.602333,0.742076,0.397667,0.148333,0.454,0.308169,0.290457,0.25769,0.032767,-0.017712,-0.195318,0.195318,-0.302721
tabular_sarsa,0,reversal,200,3200,0.05,0.95,0.474667,0.496667,0.551333,0.741397,0.448667,0.147667,0.403667,0.27994,0.249873,0.22945,0.020424,-0.030067,-0.098649,0.098649,-0.299324
tabular_sarsa,0,reversal,300,3300,0.05,0.95,0.424667,0.446667,0.717,0.744781,0.283,0.355,0.362,0.257286,0.247267,0.222483,0.024784,-0.010019,-0.39952,0.39952,0.102675
tabular_sarsa,0,reversal,400,3400,0.05,0.95,0.471333,0.493333,0.602,0.746149,0.398,0.247667,0.354333,0.245725,0.237347,0.220391,0.016957,-0.008378,-0.193447,0.193447,-0.104302
tabular_sarsa,0,reversal,500,3500,0.05,0.95,0.488,0.51,0.550667,0.744518,0.449333,0.250667,0.3,0.268302,0.248669,0.237015,0.011654,-0.019633,-0.10604,0.10604,-0.097698
tabular_sarsa,0,reversal,600,3600,0.05,0.95,0.478,0.5,0.599333,0.745693,0.400667,0.246,0.353333,0.261665,0.255817,0.233072,0.022746,-0.005848,-0.206133,0.206133,-0.103672
tabular_sarsa,0,reversal,700,3700,0.05,0.95,0.514667,0.536667,0.690333,0.748522,0.309667,0.256333,0.434,0.273163,0.279294,0.260162,0.019132,0.006131,-0.389134,0.389134,-0.11401
tabular_sarsa,0,reversal,800,3800,0.05,0.95,0.494667,0.516667,0.592,0.74792,0.408,0.099667,0.492333,0.264224,0.257819,0.252857,0.004962,-0.006405,-0.205028,0.205028,-0.003359
tabular_sarsa,0,reversal,900,3900,0.05,0.95,0.498,0.52,0.642667,0.749351,0.357333,0.101,0.541667,0.279606,0.278221,0.276542,0.001679,-0.001386,-0.299262,0.299262,0.005176
tabular_sarsa,0,reversal,1000,4000,0.05,0.95,0.454667,0.476667,0.648333,0.748262,0.351667,0.196333,0.452,0.267328,0.257585,0.259364,-0.001779,-0.009743,-0.104701,0.104701,-0.003355
tabular_sarsa,0,reversal,1100,4100,0.05,0.95,0.418,0.44,0.812667,0.751208,0.187333,0.4,0.412667,0.237527,0.247283,0.242353,0.00493,0.009756,-0.193789,0.193789,-0.012432
tabular_sarsa,0,reversal,1200,4200,0.05,0.95,0.494667,0.516667,0.797333,0.750636,0.202667,0.145333,0.652,0.272928,0.270587,0.278817,-0.00823,-0.002341,-0.201318,0.201318,0.104172
tabular_sarsa,0,reversal,1300,4300,0.05,0.95,0.461333,0.483333,0.600667,0.748543,0.399333,0.051333,0.549333,0.282906,0.266056,0.280374,-0.014318,-0.01685,0.194454,0.194454,-0.106648
tabular_sarsa,0,reversal,1400,4400,0.05,0.95,0.471333,0.493333,0.602667,0.748078,0.397333,0.100333,0.502333,0.294195,0.272675,0.29013,-0.017455,-0.021519,-0.001572,0.001572,0.199602
tabular_sarsa,0,reversal,1500,4500,0.05,0.95,0.461333,0.483333,0.651667,0.748176,0.348333,0.103667,0.548,0.285024,0.27207,0.276995,-0.004925,-0.012954,0.09562,0.09562,-0.003632
tabular_sarsa,0,extinction,1,4501,0.5,0.5,0.468,0.49,0.650333,0.748799,0.349667,0.102667,0.547667,0.288489,0.278178,0.283834,-0.005656,-0.010312,0.095204,0.095204,-0.007488
tabular_sarsa,0,extinction,100,4600,0.5,0.5,0.484667,0.506667,0.793667,0.746816,0.206333,0.195667,0.598,0.297659,0.261864,0.289948,-0.028084,-0.035794,0.409121,0.409121,-0.19874
tabular_sarsa,0,extinction,200,4700,0.5,0.5,0.494667,0.516667,0.595,0.746829,0.405,0.144,0.451,0.306358,0.264715,0.300971,-0.036256,-0.041643,0.00892,0.00892,-0.096384
tabular_sarsa,0,extinction,300,4800,0.5,0.5,0.468,0.49,0.803333,0.747165,0.196667,0.254,0.549333,0.306064,0.274432,0.29851,-0.024078,-0.031633,0.396505,0.396505,-0.310623
tabular_sarsa,0,extinction,400,4900,0.5,0.5,0.498,0.52,0.758667,0.746332,0.241333,0.202,0.556667,0.298151,0.260303,0.28608,-0.025778,-0.037848,0.294872,0.294872,-0.192513
tabular_sarsa,0,extinction,500,5000,0.5,0.5,0.491333,0.513333,0.703,0.747489,0.297,0.253667,0.449333,0.283365,0.260157,0.274269,-0.014112,-0.023208,0.217713,0.217713,-0.311976
tabular_sarsa,0,extinction,600,5100,0.5,0.5,0.461333,0.483333,0.651,0.746322,0.349,0.200667,0.450333,0.259175,0.231577,0.243368,-0.011791,-0.027598,0.078722,0.078722,-0.184536
tabular_sarsa,0,extinction,700,5200,0.5,0.5,0.508,0.53,0.651333,0.745779,0.348667,0.096333,0.555,0.259607,0.228173,0.241426,-0.013254,-0.031434,0.300618,0.300618,-0.004737
tabular_sarsa,0,extinction,800,5300,0.5,0.5,0.524667,0.546667,0.642,0.746125,0.358,0.189333,0.452667,0.277971,0.259248,0.256362,0.002886,-0.018723,0.306742,0.306742,-0.193803
tabular_sarsa,0,extinction,900,5400,0.5,0.5,0.454667,0.476667,0.649667,0.746313,0.350333,0.202333,0.447333,0.300922,0.274919,0.284057,-0.009138,-0.026003,0.309822,0.309822,-0.19771
tabular_sarsa,0,extinction,1000,5500,0.5,0.5,0.448,0.47,0.706667,0.749205,0.293333,0.252333,0.454333,0.278635,0.27508,0.273074,0.002006,-0.003555,0.196551,0.196551,-0.092006
tabular_sarsa,0,extinction,1100,5600,0.5,0.5,0.551333,0.573333,0.65,0.748126,0.35,0.191333,0.458667,0.27909,0.265247,0.270695,-0.005448,-0.013842,0.083739,0.083739,0.002272
tabular_sarsa,0,extinction,1200,5700,0.5,0.5,0.531333,0.553333,0.703333,0.751417,0.296667,0.301333,0.402,0.256951,0.27178,0.259851,0.011929,0.014829,-0.007502,0.007502,-0.186124
tabular_sarsa,0,extinction,1300,5800,0.5,0.5,0.461333,0.483333,0.695,0.750724,0.305,0.357667,0.337333,0.268386,0.28688,0.26372,0.02316,0.018494,-0.009219,0.009219,-0.285395
tabular_sarsa,0,extinction,1400,5900,0.5,0.5,0.484667,0.506667,0.702667,0.749922,0.297333,0.157333,0.545333,0.257064,0.258797,0.254818,0.003979,0.001733,-0.012629,0.012629,0.084508
tabular_sarsa,0,extinction,1500,6000,0.5,0.5,0.508,0.53,0.694333,0.749644,0.305667,0.097667,0.596667,0.257292,0.246076,0.259387,-0.01331,-0.011216,0.005261,0.005261,0.196381
tabular_sarsa,1,acquisition,1,1,0.95,0.05,0.481333,0.503333,0.674,0.74936,0.326,0.220667,0.453333,0.005598,0.003019,0.001829,0.00119,-0.002579,0.146553,0.146553,-0.045297
tabular_sarsa,1,acquisition,100,100,0.95,0.05,0.454667,0.476667,0.603,0.748715,0.397,0.199333,0.403667,0.026256,0.015857,0.021032,-0.005175,-0.010399,-0.203356,0.203356,-4e-06
tabular_sarsa,1,acquisition,200,200,0.95,0.05,0.454667,0.476667,0.746,0.749486,0.254,0.202333,0.543667,0.048298,0.036203,0.050684,-0.014481,-0.012095,-0.096845,0.096845,-0.005241
tabular_sarsa,1,acquisition,300,300,0.95,0.05,0.518,0.54,0.762333,0.749715,0.237667,0.162333,0.6,0.091113,0.08478,0.091245,-0.006465,-0.006333,-0.304074,0.304074,0.299508
tabular_sarsa,1,acquisition,400,400,0.95,0.05,0.454667,0.476667,0.743333,0.749268,0.256667,0.256333,0.487,0.111554,0.100197,0.111315,-0.011118,-0.011357,-0.102284,0.102284,-0.302009
tabular_sarsa,1,acquisition,500,500,0.95,0.05,0.474667,0.496667,0.753,0.749737,0.247,0.249333,0.503667,0.137417,0.133282,0.137622,-0.004339,-0.004135,-0.101971,0.101971,-0.099996
tabular_sarsa,1,acquisition,600,600,0.95,0.05,0.448,0.47,0.848,0.75099,0.152,0.153333,0.694667,0.145373,0.140531,0.155539,-0.015007,-0.004842,-0.097633,0.097633,-0.093495
tabular_sarsa,1,acquisition,700,700,0.95,0.05,0.508,0.53,0.751667,0.751715,0.248333,0.251667,0.5,0.150045,0.164148,0.157032,0.007117,0.014104,-0.097068,0.097068,0.100409
tabular_sarsa,1,acquisition,800,800,0.95,0.05,0.518,0.54,0.955,0.754383,0.045,0.250333,0.704667,0.15268,0.180842,0.173562,0.00728,0.028162,-0.097052,0.097052,0.106179
tabular_sarsa,1,acquisition,900,900,0.95,0.05,0.511333,0.533333,0.899333,0.750865,0.100667,0.346667,0.552667,0.190575,0.202612,0.191458,0.011154,0.012036,0.001543,0.001543,-0.10498
tabular_sarsa,1,acquisition,1000,1000,0.95,0.05,0.451333,0.473333,0.901,0.751352,0.099,0.358333,0.542667,0.169058,0.174668,0.176779,-0.002111,0.005609,-0.006485,0.006485,-0.293858
tabular_sarsa,1,acquisition,1100,1100,0.95,0.05,0.491333,0.513333,0.804,0.753058,0.196,0.302667,0.501333,0.181485,0.193631,0.199554,-0.005923,0.012146,-0.002875,0.002875,-0.005773
tabular_sarsa,1,acquisition,1200,1200,0.95,0.05,0.488,0.51,0.700667,0.751787,0.299333,0.150667,0.55,0.212174,0.211288,0.22783,-0.016542,-0.000886,0.005625,0.005625,-0.105255
tabular_sarsa,1,acquisition,1300,1300,0.95,0.05,0.464667,0.486667,0.755333,0.750527,0.244667,0.200333,0.555,0.211534,0.204883,0.219066,-0.014183,-0.006651,0.29257,0.29257,-0.1994
tabular_sarsa,1,acquisition,1400,1400,0.95,0.05,0.464667,0.486667,0.897333,0.753334,0.102667,0.293333,0.604,0.201664,0.213232,0.222583,-0.009351,0.011568,-0.003861,0.003861,0.194449
tabular_sarsa,1,acquisition,1500,1500,0.95,0.05,0.531333,0.553333,0.711667,0.752023,0.288333,0.112,0.599667,0.228148,0.231549,0.242795,-0.011246,0.003401,-0.198409,0.198409,0.201439
