agent_type,phase,checkpoint,n,reward_mean,reward_ci95,goal_rate_mean,goal_rate_ci95,SPI_mean,SPI_ci95,CDS_mean,CDS_ci95,causal_action_rate_mean,causal_action_rate_ci95,proxy_action_rate_mean,proxy_action_rate_ci95,neutral_action_rate_mean,neutral_action_rate_ci95,Q_causal_mean,Q_causal_ci95,Q_proxy_mean,Q_proxy_ci95,Q_neutral_mean_mean,Q_neutral_mean_ci95,proxy_Q_advantage_mean,proxy_Q_advantage_ci95,proxy_vs_causal_Q_mean,proxy_vs_causal_Q_ci95,proxy_dependence_mean,proxy_dependence_ci95,proxy_action_dependence_mean,proxy_action_dependence_ci95
tabular_sarsa,acquisition,final,10,0.474667,0.031858,0.496667,0.031858,0.785917,0.059344,0.750228,0.001083,0.214083,0.059344,0.220333,0.043441,0.565583,0.083426,0.272108,0.015368,0.269216,0.010859,0.275469,0.012038,-0.006253,0.00445,-0.002893,0.007135,0.032086,0.123141,-0.079788,0.132717
tabular_sarsa,reversal,final,10,0.479667,0.031257,0.501667,0.031257,0.699333,0.081273,0.748999,0.001546,0.300667,0.081273,0.173917,0.056918,0.525417,0.093907,0.291884,0.014113,0.284067,0.010238,0.287535,0.017277,-0.003469,0.010631,-0.007817,0.006992,-0.001397,0.08062,-0.052036,0.105973
tabular_sarsa,extinction,final,10,0.474667,0.018415,0.496667,0.018415,0.709833,0.063125,0.748964,0.002749,0.290167,0.063125,0.197667,0.035275,0.512167,0.067788,0.285114,0.017627,0.276093,0.011848,0.281672,0.011889,-0.005579,0.009013,-0.009021,0.016592,-0.092462,0.151382,-0.09055,0.135601
dqn,acquisition,final,10,0.474667,0.031858,0.496667,0.031858,0.579,0.031225,0.766199,0.001302,0.421,0.031225,0.20375,0.092241,0.37525,0.088618,0.316558,0.01359,0.410766,0.009534,0.410342,0.009296,0.000424,0.002109,0.094208,0.007983,0.84781,0.068153,-0.349858,0.134693
dqn,reversal,final,10,0.479667,0.031257,0.501667,0.031257,0.568333,0.030763,0.761337,0.001621,0.431667,0.030763,0.211333,0.099854,0.357,0.092904,0.361583,0.010982,0.433532,0.012402,0.426825,0.011685,0.006707,0.012899,0.071949,0.012594,-0.881384,0.085459,0.291641,0.27755
dqn,extinction,final,10,0.474667,0.018415,0.496667,0.018415,0.64275,0.039707,0.757115,0.000968,0.35725,0.039707,0.169833,0.053548,0.472917,0.057422,0.312943,0.011947,0.349999,0.010923,0.353447,0.00966,-0.003448,0.002904,0.037056,0.005585,-0.722989,0.083411,0.083934,0.224236
