agent_type,seed,phase,phase_episode,global_episode,p_proxy_given_reward,p_proxy_given_no_reward,reward,goal_rate,SPI,CDS,causal_action_rate,proxy_action_rate,neutral_action_rate,Q_causal,Q_proxy,Q_neutral_mean,proxy_Q_advantage,proxy_vs_causal_Q,proxy_dependence,proxy_action_dependence
tabular_sarsa,0,acquisition,3000,3000,0.95,0.05,0.528,0.55,0.809167,0.748955,0.190833,0.210833,0.598333,0.271082,0.258434,0.268972,-0.010538,-0.012648,-0.197069,0.202801
tabular_sarsa,0,reversal,1,3001,0.05,0.95,0.486333,0.508333,0.6475,0.748333,0.3525,0.1025,0.545,0.247414,0.231554,0.24223,-0.010677,-0.01586,0.101292,-0.001242
tabular_sarsa,0,reversal,100,3100,0.05,0.95,0.428,0.45,0.848333,0.757452,0.151667,0.351667,0.496667,0.241211,0.281834,0.274257,0.007577,0.040624,0.10214,0.102814
tabular_sarsa,0,reversal,200,3200,0.05,0.95,0.428,0.45,0.731667,0.757591,0.268333,0.245833,0.485833,0.202634,0.245663,0.24036,0.005302,0.043028,0.301093,-0.106948
tabular_sarsa,0,reversal,300,3300,0.05,0.95,0.453,0.475,0.846667,0.755842,0.153333,0.244167,0.6025,0.198366,0.23164,0.225863,0.005778,0.033274,0.106563,-0.094716
tabular_sarsa,0,reversal,400,3400,0.05,0.95,0.503,0.525,0.858333,0.756547,0.141667,0.201667,0.656667,0.209958,0.247233,0.24053,0.006703,0.037276,0.093364,-0.196124
tabular_sarsa,0,reversal,500,3500,0.05,0.95,0.469667,0.491667,0.743333,0.752943,0.256667,0.296667,0.446667,0.210893,0.225643,0.224759,0.000884,0.014749,0.290717,-0.003589
tabular_sarsa,0,reversal,600,3600,0.05,0.95,0.453,0.475,0.846667,0.75342,0.153333,0.250833,0.595833,0.215795,0.230335,0.233573,-0.003238,0.01454,0.113736,-0.097651
tabular_sarsa,0,reversal,700,3700,0.05,0.95,0.553,0.575,0.859167,0.75451,0.140833,0.308333,0.550833,0.264547,0.280441,0.288532,-0.008091,0.015894,0.091357,-8.5e-05
tabular_sarsa,0,reversal,800,3800,0.05,0.95,0.478,0.5,0.795,0.74935,0.205,0.243333,0.551667,0.251095,0.241571,0.249288,-0.007717,-0.009524,0.00675,-0.102618
tabular_sarsa,0,reversal,900,3900,0.05,0.95,0.503,0.525,0.808333,0.750131,0.191667,0.211667,0.596667,0.27274,0.2671,0.275136,-0.008035,-0.00564,0.20107,-0.208019
tabular_sarsa,0,reversal,1000,4000,0.05,0.95,0.503,0.525,0.791667,0.749061,0.208333,0.195833,0.595833,0.276938,0.268919,0.272694,-0.003775,-0.008019,-0.003339,-0.002671
tabular_sarsa,0,reversal,1100,4100,0.05,0.95,0.419667,0.441667,0.753333,0.74851,0.246667,0.2025,0.550833,0.251414,0.244231,0.242647,0.001584,-0.007183,-0.101975,0.005905
tabular_sarsa,0,reversal,1200,4200,0.05,0.95,0.469667,0.491667,0.7,0.747954,0.3,0.098333,0.601667,0.283398,0.268383,0.274711,-0.006328,-0.015015,0.014333,-0.009672
tabular_sarsa,0,reversal,1300,4300,0.05,0.95,0.503,0.525,0.7025,0.747436,0.2975,0.154167,0.548333,0.293761,0.273243,0.283801,-0.010558,-0.020518,0.008176,-0.094828
tabular_sarsa,0,reversal,1400,4400,0.05,0.95,0.453,0.475,0.709167,0.747554,0.290833,0.2025,0.506667,0.28049,0.258609,0.272761,-0.014152,-0.021881,0.000339,-0.006525
tabular_sarsa,0,reversal,1500,4500,0.05,0.95,0.519667,0.541667,0.7,0.74858,0.3,0.161667,0.538333,0.298647,0.283844,0.294701,-0.010857,-0.014803,-0.00838,-0.106348
tabular_sarsa,0,extinction,1,4501,0.5,0.5,0.403,0.425,0.7,0.748747,0.3,0.151667,0.548333,0.277017,0.263166,0.273916,-0.010749,-0.013851,-0.03635,-0.079943
tabular_sarsa,0,extinction,100,4600,0.5,0.5,0.511333,0.533333,0.748333,0.748323,0.251667,0.19,0.558333,0.292992,0.261525,0.297138,-0.035614,-0.031468,0.095828,-0.193967
tabular_sarsa,0,extinction,200,4700,0.5,0.5,0.536333,0.558333,0.665833,0.748929,0.334167,0.200833,0.465,0.297204,0.268966,0.306287,-0.037322,-0.028239,-0.099527,-0.173784
tabular_sarsa,0,extinction,300,4800,0.5,0.5,0.461333,0.483333,0.738333,0.747784,0.261667,0.136667,0.601667,0.308298,0.278675,0.306638,-0.027964,-0.029624,0.068693,-0.109307
tabular_sarsa,0,extinction,400,4900,0.5,0.5,0.428,0.45,0.6925,0.744815,0.3075,0.199167,0.493333,0.307849,0.271881,0.285878,-0.013997,-0.035968,0.030646,-0.203782
tabular_sarsa,0,extinction,500,5000,0.5,0.5,0.494667,0.516667,0.7475,0.746061,0.2525,0.049167,0.698333,0.292739,0.256314,0.280874,-0.02456,-0.036424,0.113764,0.102787
tabular_sarsa,0,extinction,600,5100,0.5,0.5,0.419667,0.441667,0.525833,0.747146,0.474167,0.091667,0.434167,0.261421,0.247171,0.245832,0.001339,-0.01425,-0.077778,-0.004177
tabular_sarsa,0,extinction,700,5200,0.5,0.5,0.519667,0.541667,0.7,0.745611,0.3,0.145833,0.554167,0.26492,0.240197,0.242901,-0.002704,-0.024723,0.179,-0.085486
tabular_sarsa,0,extinction,800,5300,0.5,0.5,0.536333,0.558333,0.793333,0.746867,0.206667,0.183333,0.61,0.278738,0.249323,0.268276,-0.018953,-0.029415,-0.026325,0.021456
tabular_sarsa,0,extinction,900,5400,0.5,0.5,0.444667,0.466667,0.791667,0.748711,0.208333,0.200833,0.590833,0.289565,0.272685,0.287626,-0.014942,-0.01688,0.022286,0.006441
tabular_sarsa,0,extinction,1000,5500,0.5,0.5,0.444667,0.466667,0.790833,0.749091,0.209167,0.1925,0.598333,0.282423,0.266427,0.282176,-0.01575,-0.015996,-0.017485,0.002184
tabular_sarsa,0,extinction,1100,5600,0.5,0.5,0.569667,0.591667,0.796667,0.74955,0.203333,0.200833,0.595833,0.274611,0.261656,0.276806,-0.01515,-0.012955,0.019269,-0.015685
tabular_sarsa,0,extinction,1200,5700,0.5,0.5,0.469667,0.491667,0.905833,0.753321,0.094167,0.254167,0.651667,0.253847,0.26504,0.273109,-0.008069,0.011193,0.005942,-0.119128
tabular_sarsa,0,extinction,1300,5800,0.5,0.5,0.369667,0.391667,0.793333,0.749721,0.206667,0.301667,0.491667,0.27236,0.270351,0.270465,-0.000114,-0.002009,-0.013008,-0.00492
tabular_sarsa,0,extinction,1400,5900,0.5,0.5,0.461333,0.483333,0.804167,0.748067,0.195833,0.350833,0.453333,0.261064,0.257352,0.247293,0.010059,-0.003712,-0.19035,0.104196
tabular_sarsa,0,extinction,1500,6000,0.5,0.5,0.469667,0.491667,0.7125,0.746801,0.2875,0.214167,0.498333,0.266743,0.24961,0.249702,-9.1e-05,-0.017133,-0.413758,0.221481
tabular_sarsa,1,acquisition,1,1,0.95,0.05,0.469667,0.491667,0.678333,0.74937,0.321667,0.216667,0.461667,0.005599,0.003143,0.001847,0.001296,-0.002456,0.15573,-0.030483
tabular_sarsa,1,acquisition,100,100,0.95,0.05,0.511333,0.533333,0.746667,0.75139,0.253333,0.35,0.396667,0.018371,0.020281,0.028516,-0.008235,0.00191,0.094131,-0.099253
tabular_sarsa,1,acquisition,200,200,0.95,0.05,0.411333,0.433333,0.706667,0.749472,0.293333,0.198333,0.508333,0.070997,0.068838,0.067806,0.001032,-0.002159,0.182524,0.007159
tabular_sarsa,1,acquisition,300,300,0.95,0.05,0.469667,0.491667,0.640833,0.751357,0.359167,0.299167,0.341667,0.090345,0.102343,0.095587,0.006756,0.011998,0.302401,-0.006948
tabular_sarsa,1,acquisition,400,400,0.95,0.05,0.461333,0.483333,0.6575,0.75005,0.3425,0.359167,0.298333,0.094468,0.095403,0.09445,0.000954,0.000935,0.099643,-0.286358
tabular_sarsa,1,acquisition,500,500,0.95,0.05,0.486333,0.508333,0.798333,0.749451,0.201667,0.149167,0.649167,0.129042,0.123514,0.12792,-0.004406,-0.005528,0.196653,0.099187
tabular_sarsa,1,acquisition,600,600,0.95,0.05,0.469667,0.491667,0.759167,0.749882,0.240833,0.158333,0.600833,0.1321,0.133906,0.129653,0.004253,0.001806,-0.105928,0.091586
tabular_sarsa,1,acquisition,700,700,0.95,0.05,0.469667,0.491667,0.6975,0.751569,0.3025,0.144167,0.553333,0.117708,0.124469,0.127223,-0.002755,0.006761,-0.007554,0.295222
tabular_sarsa,1,acquisition,800,800,0.95,0.05,0.511333,0.533333,0.686667,0.749672,0.313333,0.146667,0.54,0.138242,0.136352,0.136783,-0.000431,-0.001891,0.201804,0.08699
tabular_sarsa,1,acquisition,900,900,0.95,0.05,0.528,0.55,0.755833,0.752284,0.244167,0.236667,0.519167,0.159852,0.171283,0.173319,-0.002037,0.011431,-0.108987,-0.095893
tabular_sarsa,1,acquisition,1000,1000,0.95,0.05,0.461333,0.483333,0.8025,0.748634,0.1975,0.241667,0.560833,0.174655,0.17455,0.16416,0.01039,-0.000105,0.206303,0.095652
tabular_sarsa,1,acquisition,1100,1100,0.95,0.05,0.469667,0.491667,0.650833,0.750367,0.349167,0.240833,0.41,0.173458,0.169312,0.178196,-0.008883,-0.004145,-0.295451,0.292215
tabular_sarsa,1,acquisition,1200,1200,0.95,0.05,0.444667,0.466667,0.8025,0.750261,0.1975,0.245833,0.556667,0.184297,0.18053,0.188881,-0.008351,-0.003767,0.006013,0.099906
