condition,proxy_strength,p_proxy_given_reward,p_proxy_given_no_reward,eval_mode,agent_type,seed,reward,goal_rate,SPI,CDS,causal_action_rate,proxy_action_rate,neutral_action_rate,Q_causal,Q_proxy,Q_neutral_mean,proxy_Q_advantage,proxy_vs_causal_Q,proxy_dependence,proxy_action_dependence
no_proxy,0.0,0.5,0.5,training_distribution_eval,memoryless_agent,12,0.506,0.528,0.595,0.746619,0.405,0.146,0.449,0.326261,0.305936,0.310065,-0.004129,-0.020325,-0.008501,-0.090129
no_proxy,0.0,0.5,0.5,decorrelated_eval,memoryless_agent,12,0.506,0.528,0.595,0.746619,0.405,0.146,0.449,0.326261,0.305936,0.310065,-0.004129,-0.020325,-0.008501,-0.090129
no_proxy,0.0,0.5,0.5,training_distribution_eval,memoryless_agent,13,0.498,0.52,0.6968,0.747474,0.3032,0.249,0.4478,0.329065,0.324359,0.311685,0.012674,-0.004706,-0.396615,0.10519
no_proxy,0.0,0.5,0.5,decorrelated_eval,memoryless_agent,13,0.498,0.52,0.6968,0.747474,0.3032,0.249,0.4478,0.329065,0.324359,0.311685,0.012674,-0.004706,-0.396615,0.10519
no_proxy,0.0,0.5,0.5,training_distribution_eval,memoryless_agent,14,0.472,0.494,0.7442,0.752115,0.2558,0.1484,0.5958,0.318277,0.324813,0.331608,-0.006796,0.006536,0.101258,0.108627
no_proxy,0.0,0.5,0.5,decorrelated_eval,memoryless_agent,14,0.472,0.494,0.7442,0.752115,0.2558,0.1484,0.5958,0.318277,0.324813,0.331608,-0.006796,0.006536,0.101258,0.108627
no_proxy,0.0,0.5,0.5,training_distribution_eval,memoryless_agent,15,0.46,0.482,0.7,0.750767,0.3,0.3522,0.3478,0.290357,0.300808,0.290393,0.010414,0.01045,-0.202187,0.30427
no_proxy,0.0,0.5,0.5,decorrelated_eval,memoryless_agent,15,0.46,0.482,0.7,0.750767,0.3,0.3522,0.3478,0.290357,0.300808,0.290393,0.010414,0.01045,-0.202187,0.30427
no_proxy,0.0,0.5,0.5,training_distribution_eval,memoryless_agent,16,0.454,0.476,0.7438,0.749234,0.2562,0.2422,0.5016,0.291787,0.285678,0.288812,-0.003133,-0.006109,-0.10351,-0.108208
no_proxy,0.0,0.5,0.5,decorrelated_eval,memoryless_agent,16,0.454,0.476,0.7438,0.749234,0.2562,0.2422,0.5016,0.291787,0.285678,0.288812,-0.003133,-0.006109,-0.10351,-0.108208
no_proxy,0.0,0.5,0.5,training_distribution_eval,memoryless_agent,17,0.466,0.488,0.9472,0.752396,0.0528,0.4034,0.5438,0.293154,0.299599,0.30853,-0.008931,0.006445,0.103489,0.006344
no_proxy,0.0,0.5,0.5,decorrelated_eval,memoryless_agent,17,0.466,0.488,0.9472,0.752396,0.0528,0.4034,0.5438,0.293154,0.299599,0.30853,-0.008931,0.006445,0.103489,0.006344
no_proxy,0.0,0.5,0.5,training_distribution_eval,memoryless_agent,18,0.46,0.482,0.6474,0.747436,0.3526,0.051,0.5964,0.315672,0.275236,0.314697,-0.039462,-0.040436,0.092972,0.101392
no_proxy,0.0,0.5,0.5,decorrelated_eval,memoryless_agent,18,0.46,0.482,0.6474,0.747436,0.3526,0.051,0.5964,0.315672,0.275236,0.314697,-0.039462,-0.040436,0.092972,0.101392
no_proxy,0.0,0.5,0.5,training_distribution_eval,memoryless_agent,19,0.464,0.486,0.5938,0.744518,0.4062,0.1976,0.3962,0.327268,0.304484,0.296205,0.00828,-0.022783,-0.191681,0.392843
no_proxy,0.0,0.5,0.5,decorrelated_eval,memoryless_agent,19,0.464,0.486,0.5938,0.744518,0.4062,0.1976,0.3962,0.327268,0.304484,0.296205,0.00828,-0.022783,-0.191681,0.392843
no_proxy,0.0,0.5,0.5,training_distribution_eval,memoryless_agent,20,0.48,0.502,0.801,0.748818,0.199,0.3538,0.4472,0.313107,0.306406,0.307904,-0.001498,-0.006701,0.201569,-0.089598
no_proxy,0.0,0.5,0.5,decorrelated_eval,memoryless_agent,20,0.48,0.502,0.801,0.748818,0.199,0.3538,0.4472,0.313107,0.306406,0.307904,-0.001498,-0.006701,0.201569,-0.089598
no_proxy,0.0,0.5,0.5,training_distribution_eval,memoryless_agent,21,0.502,0.524,0.6984,0.749256,0.3016,0.31,0.3884,0.297488,0.307988,0.285945,0.022043,0.0105,-0.190522,-0.007629
no_proxy,0.0,0.5,0.5,decorrelated_eval,memoryless_agent,21,0.502,0.524,0.6984,0.749256,0.3016,0.31,0.3884,0.297488,0.307988,0.285945,0.022043,0.0105,-0.190522,-0.007629
no_proxy,0.0,0.5,0.5,training_distribution_eval,memoryless_agent,22,0.462,0.484,0.7006,0.749443,0.2994,0.0494,0.6512,0.318095,0.302496,0.321197,-0.018701,-0.015599,-0.00636,0.10173
no_proxy,0.0,0.5,0.5,decorrelated_eval,memoryless_agent,22,0.462,0.484,0.7006,0.749443,0.2994,0.0494,0.6512,0.318095,0.302496,0.321197,-0.018701,-0.015599,-0.00636,0.10173
no_proxy,0.0,0.5,0.5,training_distribution_eval,memoryless_agent,23,0.488,0.51,0.853,0.750405,0.147,0.2606,0.5924,0.310478,0.313889,0.311432,0.002457,0.003411,0.102321,-0.304498
no_proxy,0.0,0.5,0.5,decorrelated_eval,memoryless_agent,23,0.488,0.51,0.853,0.750405,0.147,0.2606,0.5924,0.310478,0.313889,0.311432,0.002457,0.003411,0.102321,-0.304498
no_proxy,0.0,0.5,0.5,training_distribution_eval,memoryless_agent,24,0.476,0.498,0.7078,0.749312,0.2922,0.1544,0.5534,0.304701,0.288976,0.307275,-0.018298,-0.015725,-0.00015,0.099885
no_proxy,0.0,0.5,0.5,decorrelated_eval,memoryless_agent,24,0.476,0.498,0.7078,0.749312,0.2922,0.1544,0.5534,0.304701,0.288976,0.307275,-0.018298,-0.015725,-0.00015,0.099885
no_proxy,0.0,0.5,0.5,training_distribution_eval,memoryless_agent,25,0.522,0.544,0.7984,0.754544,0.2016,0.2994,0.499,0.283756,0.322726,0.29925,0.023476,0.03897,0.014041,0.203969
no_proxy,0.0,0.5,0.5,decorrelated_eval,memoryless_agent,25,0.522,0.544,0.7984,0.754544,0.2016,0.2994,0.499,0.283756,0.322726,0.29925,0.023476,0.03897,0.014041,0.203969
no_proxy,0.0,0.5,0.5,training_distribution_eval,memoryless_agent,26,0.474,0.496,0.8008,0.75297,0.1992,0.3618,0.439,0.289238,0.319979,0.296532,0.023447,0.030741,-0.191141,0.295854
no_proxy,0.0,0.5,0.5,decorrelated_eval,memoryless_agent,26,0.474,0.496,0.8008,0.75297,0.1992,0.3618,0.439,0.289238,0.319979,0.296532,0.023447,0.030741,-0.191141,0.295854
no_proxy,0.0,0.5,0.5,training_distribution_eval,memoryless_agent,27,0.456,0.478,0.7028,0.747489,0.2972,0.197,0.5058,0.323023,0.303668,0.312847,-0.009179,-0.019355,-0.008433,-0.004101
no_proxy,0.0,0.5,0.5,decorrelated_eval,memoryless_agent,27,0.456,0.478,0.7028,0.747489,0.2972,0.197,0.5058,0.323023,0.303668,0.312847,-0.009179,-0.019355,-0.008433,-0.004101
no_proxy,0.0,0.5,0.5,training_distribution_eval,memoryless_agent,28,0.496,0.518,0.795,0.749663,0.205,0.1542,0.6408,0.314049,0.306658,0.315035,-0.008377,-0.007391,-0.004162,-0.10746
no_proxy,0.0,0.5,0.5,decorrelated_eval,memoryless_agent,28,0.496,0.518,0.795,0.749663,0.205,0.1542,0.6408,0.314049,0.306658,0.315035,-0.008377,-0.007391,-0.004162,-0.10746
no_proxy,0.0,0.5,0.5,training_distribution_eval,memoryless_agent,29,0.494,0.516,0.6982,0.750788,0.3018,0.2066,0.4916,0.2873,0.28554,0.294121,-0.008581,-0.00176,0.007089,0.002364
no_proxy,0.0,0.5,0.5,decorrelated_eval,memoryless_agent,29,0.494,0.516,0.6982,0.750788,0.3018,0.2066,0.4916,0.2873,0.28554,0.294121,-0.008581,-0.00176,0.007089,0.002364
no_proxy,0.0,0.5,0.5,training_distribution_eval,memory_agent,0,0.492,0.514,0.7442,0.750344,0.2558,0.2478,0.4964,0.286734,0.288242,0.288576,-0.000334,0.001508,-0.198471,0.004025
no_proxy,0.0,0.5,0.5,decorrelated_eval,memory_agent,0,0.492,0.514,0.7442,0.750344,0.2558,0.2478,0.4964,0.286734,0.288242,0.288576,-0.000334,0.001508,-0.198471,0.004025
no_proxy,0.0,0.5,0.5,training_distribution_eval,memory_agent,1,0.498,0.52,0.6726,0.74799,0.3274,0.1584,0.5142,0.287965,0.275692,0.278719,-0.003027,-0.012273,0.047352,-0.103707
no_proxy,0.0,0.5,0.5,decorrelated_eval,memory_agent,1,0.498,0.52,0.6726,0.74799,0.3274,0.1584,0.5142,0.287965,0.275692,0.278719,-0.003027,-0.012273,0.047352,-0.103707
no_proxy,0.0,0.5,0.5,training_distribution_eval,memory_agent,2,0.516,0.538,0.8724,0.751068,0.1276,0.1966,0.6758,0.299927,0.297226,0.309416,-0.01219,-0.0027,0.049034,-0.083838
no_proxy,0.0,0.5,0.5,decorrelated_eval,memory_agent,2,0.516,0.538,0.8724,0.751068,0.1276,0.1966,0.6758,0.299927,0.297226,0.309416,-0.01219,-0.0027,0.049034,-0.083838
no_proxy,0.0,0.5,0.5,training_distribution_eval,memory_agent,3,0.47,0.492,0.8016,0.751457,0.1984,0.3,0.5016,0.300509,0.316227,0.303658,0.012569,0.015718,0.308976,-0.217363
no_proxy,0.0,0.5,0.5,decorrelated_eval,memory_agent,3,0.47,0.492,0.8016,0.751457,0.1984,0.3,0.5016,0.300509,0.316227,0.303658,0.012569,0.015718,0.308976,-0.217363
no_proxy,0.0,0.5,0.5,training_distribution_eval,memory_agent,4,0.48,0.502,0.6654,0.747165,0.3346,0.2322,0.4332,0.314832,0.300998,0.299798,0.0012,-0.013834,-0.193568,0.139654
no_proxy,0.0,0.5,0.5,decorrelated_eval,memory_agent,4,0.48,0.502,0.6654,0.747165,0.3346,0.2322,0.4332,0.314832,0.300998,0.299798,0.0012,-0.013834,-0.193568,0.139654
no_proxy,0.0,0.5,0.5,training_distribution_eval,memory_agent,5,0.476,0.498,0.7284,0.748983,0.2716,0.3708,0.3576,0.310956,0.320998,0.297596,0.023402,0.010042,0.249741,-0.050427
